2.9158,-11.3903,-3.1248,0.0,0.0
2.7804,-11.39,-3.127,0.0,0.0
2.6509,-11.3906,-3.1284,0.0,0.0
2.5204,-11.3914,-3.1297,0.0,0.0
2.3913,-11.392,-3.1309,0.0,0.0
2.263,-11.3929,-3.1322,0.0,0.0
2.1343,-11.393,-3.1341,0.0,0.0
2.0063,-11.3929,-3.1359,0.0,0.0
1.879,-11.392,-3.1383,0.0,0.0
1.7496,-11.3905,-3.1404,0.0,0.0
1.6237,-11.3891,3.1412,0.0,0.0
1.5007,-11.3875,3.1396,0.0,0.0
1.3756,-11.3853,3.1378,0.0,0.0
1.2511,-11.3831,3.1358,0.0,0.0
1.1247,-11.3804,3.1338,0.0,0.0
1.0019,-11.3781,3.1318,0.0,0.0
0.8749,-11.375,3.1295,0.0,0.0
0.7465,-11.3707,3.127,0.0,0.0
0.6145,-11.3641,3.1228,0.0,0.0
0.4882,-11.3574,3.1193,0.0,0.0
0.3538,-11.3516,3.1168,0.0,0.0
0.2251,-11.3462,3.1146,0.0,0.0
0.0935,-11.3407,3.113,0.0,0.0
-0.0385,-11.3364,3.1121,0.0,0.0
-0.1712,-11.3311,3.1103,0.0,0.0
-0.3053,-11.3258,3.1097,0.0,0.0
-0.4408,-11.321,3.1099,0.0,0.0
-0.5755,-11.3163,3.1106,0.0,0.0
-0.7077,-11.3121,3.1109,0.0,0.0
-0.8399,-11.3075,3.1103,0.0,0.0
-0.9732,-11.3015,3.1086,0.0,0.0
-1.1072,-11.2937,3.1058,0.0,0.0
-1.2422,-11.286,3.1024,0.0,0.0
-1.3767,-11.2797,3.1015,0.0,0.0
-1.5129,-11.2739,3.1025,0.0,0.0
-1.6497,-11.268,3.1021,0.0,0.0
-1.7862,-11.2611,3.1008,0.0,0.0
-1.9224,-11.2533,3.0991,0.0,0.0
-2.0591,-11.2465,3.0987,0.0,0.0
-2.1982,-11.2414,3.1004,0.0,0.0
-2.3368,-11.2368,3.102,0.0,0.0
-2.476,-11.2324,3.1037,0.0,0.0
-2.6134,-11.2278,3.1053,0.0,0.0
-2.7514,-11.223,3.1064,0.0,0.0
-2.889,-11.2181,3.1074,0.0,0.0
-3.027,-11.2137,3.1085,0.0,0.0
-3.1657,-11.2099,3.1098,0.0,0.0
-3.3063,-11.2064,3.1119,0.0,0.0
-3.4473,-11.2019,3.1135,0.0,0.0
-3.5863,-11.1981,3.1149,0.0,0.0
-3.7287,-11.1938,3.1159,0.0,0.0
-3.8683,-11.19,3.1162,0.0,0.0
-4.0068,-11.1862,3.1164,0.0,0.0
-4.1427,-11.1833,3.1173,0.0,0.0
-4.2868,-11.1816,3.12,0.0,0.0
-4.425,-11.1809,3.1226,0.0,0.0
-4.5681,-11.1797,3.1244,0.0,0.0
-4.7049,-11.1784,3.1258,0.0,0.0
-4.8488,-11.1778,3.1273,0.0,0.0
-4.9911,-11.175,3.1266,0.0,0.0
-5.134,-11.1721,3.1256,0.0,0.0
-5.2745,-11.1696,3.1249,0.0,0.0
-5.4097,-11.1651,3.1218,0.0,0.0
-5.5475,-11.1548,3.1146,0.0,0.0
-5.6882,-11.1401,3.1051,0.0,0.0
-5.8236,-11.1248,3.0965,0.0,0.0
-5.9625,-11.1091,3.0892,0.0,0.0
-6.0998,-11.0951,3.084,0.0,0.0
-6.2354,-11.0812,3.0793,0.0,0.0
-6.3686,-11.0681,3.0753,0.0,0.0
-6.4989,-11.057,3.0732,0.0,0.0
-6.6261,-11.048,3.0723,0.0,0.0
-6.7563,-11.0402,3.0723,0.0,0.0
-6.8877,-11.0314,3.0722,0.0,0.0
-7.0208,-11.0218,3.0716,0.0,0.0
-7.1588,-11.0122,3.0706,0.0,0.0
-7.2921,-11.0035,3.0701,0.0,0.0
-7.4248,-10.9941,3.0706,0.0,0.0
-7.5585,-10.9859,3.072,0.0,0.0
-7.6872,-10.9771,3.0726,0.0,0.0
-7.8139,-10.9667,3.0716,0.0,0.0
-7.9428,-10.957,3.0713,0.0,0.0
-8.0707,-10.9489,3.0725,0.0,0.0
-8.1999,-10.9419,3.0745,0.0,0.0
-8.3314,-10.9345,3.0762,0.0,0.0
-8.4571,-10.9279,3.0776,0.0,0.0
-8.5828,-10.9205,3.0786,0.0,0.0
-8.7061,-10.9126,3.0787,0.0,0.0
-8.8246,-10.9049,3.0787,0.0,0.0
-8.9436,-10.8986,3.08,0.0,0.0
-9.0599,-10.8927,3.0815,0.0,0.0
-9.1771,-10.886,3.0823,0.0,0.0
-9.2943,-10.8798,3.0831,0.0,0.0
-9.4113,-10.8734,3.0836,0.0,0.0
-9.5279,-10.8661,3.0835,0.0,0.0
-9.644,-10.8558,3.0809,0.0,0.0
-9.7629,-10.8407,3.0748,0.0,0.0
-9.8816,-10.8203,3.0654,0.0,0.0
-9.9991,-10.7957,3.054,0.0,0.0
-10.1158,-10.7698,3.0423,0.0,0.0
-10.234,-10.7439,3.0322,0.0,0.0
-10.3542,-10.7192,3.0235,0.0,0.0
-10.4713,-10.6966,3.0164,0.0,0.0
-10.5923,-10.6747,3.0105,0.0,0.0
-10.709,-10.6544,3.0064,0.0,0.0
-10.8286,-10.6348,3.004,0.0,0.0
-10.9489,-10.6167,3.0032,0.0,0.0
-11.0689,-10.6002,3.0037,0.0,0.0
-11.19,-10.5846,3.0048,0.0,0.0
-11.3086,-10.569,3.0056,0.0,0.0
-11.4286,-10.554,3.0064,0.0,0.0
-11.5471,-10.5387,3.0068,0.0,0.0
-11.6657,-10.5229,3.0071,0.0,0.0
-11.7858,-10.5064,3.0074,0.0,0.0
-11.8991,-10.4921,3.0085,0.0,0.0
-12.0133,-10.4794,3.0104,0.0,0.0
-12.1318,-10.4664,3.0127,0.0,0.0
-12.2499,-10.4523,3.0135,0.0,0.0
-12.3673,-10.4382,3.0137,0.0,0.0
-12.4884,-10.4239,3.0143,0.0,0.0
-12.6058,-10.4094,3.0145,0.0,0.0
-12.725,-10.3943,3.0148,0.0,0.0
-12.8449,-10.3793,3.0147,0.0,0.0
-12.9598,-10.3651,3.0146,0.0,0.0
-13.0754,-10.351,3.0146,0.0,0.0
-13.189,-10.3375,3.015,0.0,0.0
-13.3031,-10.3241,3.0153,0.0,0.0
-13.4216,-10.3101,3.0155,0.0,0.0
-13.5341,-10.2965,3.0157,0.0,0.0
-13.6476,-10.2828,3.0159,0.0,0.0
-13.7606,-10.2692,3.0156,0.0,0.0
-13.8723,-10.2559,3.0157,0.0,0.0
-13.9834,-10.2447,3.0164,0.0,0.0
-14.0938,-10.2331,3.0171,0.0,0.0
-14.2043,-10.2215,3.0181,0.0,0.0
-14.315,-10.2088,3.0179,0.0,0.0
-14.4239,-10.1962,3.0177,0.0,0.0
-14.5351,-10.1837,3.0178,0.0,0.0
-14.6484,-10.1709,3.018,0.0,0.0
-14.765,-10.1572,3.0184,0.0,0.0
-14.879,-10.1437,3.0188,0.0,0.0
-14.9946,-10.1299,3.0193,0.0,0.0
-15.1102,-10.1161,3.0196,0.0,0.0
-15.2263,-10.1026,3.0205,0.0,0.0
-15.34,-10.0903,3.0223,0.0,0.0
-15.454,-10.0786,3.0238,0.0,0.0
-15.57,-10.066,3.0248,0.0,0.0
-15.6821,-10.0539,3.0258,0.0,0.0
-15.7964,-10.0416,3.0263,0.0,0.0
-15.9124,-10.0292,3.027,0.0,0.0
-16.0289,-10.0161,3.0273,0.0,0.0
-16.1441,-10.004,3.0278,0.0,0.0
-16.2559,-9.9904,3.0272,0.0,0.0
-16.3682,-9.9777,3.0274,0.0,0.0
-16.4815,-9.965,3.0273,0.0,0.0
-16.5912,-9.9484,3.0236,0.0,0.0
-16.7,-9.9261,3.0162,0.0,0.0
-16.8085,-9.9006,3.0073,0.0,0.0
-16.9158,-9.8743,2.9987,0.0,0.0
-17.0237,-9.8468,2.9897,0.0,0.0
-17.1322,-9.8196,2.9819,0.0,0.0
-17.2399,-9.7936,2.9759,0.0,0.0
-17.3493,-9.7699,2.9718,0.0,0.0
-17.4635,-9.7471,2.9693,0.0,0.0
-17.5694,-9.7284,2.9692,0.0,0.0
-17.6812,-9.7098,2.9699,0.0,0.0
-17.7871,-9.6923,2.9702,0.0,0.0
-17.8949,-9.6741,2.9709,0.0,0.0
-18.0022,-9.6547,2.9699,0.0,0.0
-18.1106,-9.6345,2.9684,0.0,0.0
-18.2186,-9.6138,2.9667,0.0,0.0
-18.3258,-9.5929,2.9651,0.0,0.0
-18.4348,-9.5744,2.9656,0.0,0.0
-18.5415,-9.5559,2.9662,0.0,0.0
-18.6505,-9.5356,2.9655,0.0,0.0
-18.7491,-9.5167,2.9646,0.0,0.0
-18.8534,-9.4964,2.9633,0.0,0.0
-18.9555,-9.4771,2.9635,0.0,0.0
-19.0581,-9.4595,2.9644,0.0,0.0
-19.1607,-9.4426,2.9651,0.0,0.0
-19.2644,-9.4242,2.9655,0.0,0.0
-19.3694,-9.4058,2.9659,0.0,0.0
-19.4733,-9.3884,2.9669,0.0,0.0
-19.5796,-9.3711,2.9681,0.0,0.0
-19.682,-9.3551,2.9696,0.0,0.0
-19.7871,-9.3386,2.9712,0.0,0.0
-19.8881,-9.3224,2.9721,0.0,0.0
-20.0178,-9.3022,2.974,0.0,0.0
-20.1384,-9.2836,2.975,0.0,0.0
-20.2549,-9.2643,2.9752,0.0,0.0
-20.3668,-9.2447,2.9744,0.0,0.0
-20.4767,-9.2265,2.9746,0.0,0.0
-20.5817,-9.2093,2.975,0.0,0.0
-20.6852,-9.1929,2.9759,0.0,0.0
-20.7887,-9.1773,2.9774,0.0,0.0
-20.8898,-9.1615,2.9782,0.0,0.0
-21.0106,-9.138,2.9755,0.0,0.0
-21.1157,-9.1083,2.9661,0.0,0.0
-21.2097,-9.0671,2.9477,0.0,0.0
-21.3149,-9.0127,2.923,0.0,0.0
-21.4174,-8.9606,2.9017,0.0,0.0
-21.519,-8.9115,2.8851,0.0,0.0
-21.6203,-8.8615,2.8697,0.0,0.0
-21.7211,-8.8121,2.8546,0.0,0.0
-21.8257,-8.7655,2.8431,0.0,0.0
-21.9302,-8.7272,2.8377,0.0,0.0
-22.0365,-8.6909,2.8349,0.0,0.0
-22.1396,-8.6574,2.8337,0.0,0.0
-22.237,-8.6305,2.8349,0.0,0.0
-22.3409,-8.6015,2.8353,0.0,0.0
-22.4498,-8.572,2.8363,0.0,0.0
-22.5482,-8.5452,2.8371,0.0,0.0
-22.6501,-8.5167,2.838,0.0,0.0
-22.7556,-8.4868,2.8361,0.0,0.0
-22.8544,-8.455,2.8335,0.0,0.0
-22.95,-8.4238,2.8308,0.0,0.0
-23.0468,-8.392,2.8273,0.0,0.0
-23.1427,-8.3629,2.8233,0.0,0.0
-23.2403,-8.3384,2.8275,0.0,0.0
-23.3378,-8.3149,2.8327,0.0,0.0
-23.4373,-8.3009,2.8438,0.0,0.0
-23.3498,-8.3534,2.8612,0.0,0.0
-23.2565,-8.3894,2.8645,0.0,0.0
-23.3567,-8.3878,2.8754,0.0,0.0
-23.4558,-8.4024,2.882,0.0,0.0
-23.5523,-8.4321,2.8936,0.0,0.0
-23.6546,-8.4186,2.901,0.0,0.0
-23.7571,-8.4034,2.9071,0.0,0.0
-23.8587,-8.3887,2.9114,0.0,0.0
-23.9587,-8.3723,2.9142,0.0,0.0
-24.0639,-8.3536,2.9164,0.0,0.0
-24.164,-8.3356,2.917,0.0,0.0
-24.2642,-8.3173,2.9173,0.0,0.0
-24.3639,-8.2995,2.9186,0.0,0.0
-24.4631,-8.2824,2.9202,0.0,0.0
-24.5643,-8.2645,2.9231,0.0,0.0
-24.6629,-8.2466,2.9244,0.0,0.0
-24.766,-8.2294,2.9285,0.0,0.0
-24.8654,-8.2127,2.9305,0.0,0.0
-24.9645,-8.1975,2.931,0.0,0.0
-25.0661,-8.1819,2.9364,0.0,0.0
-25.1683,-8.1664,2.9414,0.0,0.0
-25.2706,-8.1526,2.9452,0.0,0.0
-25.376,-8.1385,2.9492,0.0,0.0
-25.479,-8.1238,2.9492,0.0,0.0
-25.5807,-8.1082,2.948,0.0,0.0
-25.6796,-8.0922,2.9465,0.0,0.0
-25.7857,-8.0742,2.9445,0.0,0.0
-25.8917,-8.0563,2.9446,0.0,0.0
-25.9982,-8.0383,2.9435,0.0,0.0
-26.1046,-8.0201,2.9451,0.0,0.0
-26.2073,-8.0027,2.9467,0.0,0.0
-26.3144,-7.9853,2.9476,0.0,0.0
-26.4217,-7.968,2.9485,0.0,0.0
-26.5291,-7.9508,2.9491,0.0,0.0
-26.6324,-7.934,2.9504,0.0,0.0
-26.7326,-7.9164,2.9492,0.0,0.0
-26.8354,-7.8973,2.9475,0.0,0.0
-26.936,-7.8788,2.9472,0.0,0.0
-27.0425,-7.86,2.9466,0.0,0.0
-27.149,-7.8421,2.945,0.0,0.0
-27.2498,-7.8268,2.9451,0.0,0.0
-27.349,-7.8112,2.9475,0.0,0.0
-27.454,-7.7944,2.9471,0.0,0.0
-27.5539,-7.778,2.9486,0.0,0.0
-27.6602,-7.7606,2.9491,0.0,0.0
-27.7601,-7.7452,2.9495,0.0,0.0
-27.8626,-7.7297,2.9503,0.0,0.0
-27.9675,-7.7134,2.9507,0.0,0.0
-28.0753,-7.6968,2.9533,0.0,0.0
-28.1859,-7.6796,2.9549,0.0,0.0
-28.2856,-7.6636,2.9568,0.0,0.0
-28.3898,-7.6465,2.9585,0.0,0.0
-28.4981,-7.6271,2.9583,0.0,0.0
-28.606,-7.6084,2.9583,0.0,0.0
-28.716,-7.59,2.9593,0.0,0.0
-28.8213,-7.5742,2.961,0.0,0.0
-28.9262,-7.5578,2.9601,0.0,0.0
-29.0336,-7.5402,2.9601,0.0,0.0
-29.1426,-7.5223,2.9606,0.0,0.0
-29.2526,-7.5043,2.961,0.0,0.0
-29.3586,-7.4863,2.9611,0.0,0.0
-29.4587,-7.4693,2.9612,0.0,0.0
-29.5676,-7.4512,2.9617,0.0,0.0
-29.6714,-7.434,2.9615,0.0,0.0
-29.7704,-7.4176,2.9612,0.0,0.0
-29.8806,-7.3986,2.9583,0.0,0.0
-29.9819,-7.382,2.9584,0.0,0.0
-30.0874,-7.3647,2.9588,0.0,0.0
-30.1944,-7.3467,2.9591,0.0,0.0
-30.3041,-7.3283,2.9593,0.0,0.0
-30.4155,-7.3102,2.9609,0.0,0.0
-30.5147,-7.2944,2.9617,0.0,0.0
-30.6164,-7.279,2.9625,0.0,0.0
-30.7222,-7.2633,2.9635,0.0,0.0
-30.8264,-7.247,2.965,0.0,0.0
-30.9392,-7.2298,2.9672,0.0,0.0
-31.0441,-7.214,2.9687,0.0,0.0
-31.1481,-7.1993,2.9698,0.0,0.0
-31.2518,-7.1847,2.9712,0.0,0.0
-31.3587,-7.1696,2.9727,0.0,0.0
-31.4689,-7.1546,2.9749,0.0,0.0
-31.5805,-7.1401,2.9761,0.0,0.0
-31.6798,-7.1273,2.9783,0.0,0.0
-31.7811,-7.1154,2.9799,0.0,0.0
-31.8894,-7.1011,2.9798,0.0,0.0
-31.9974,-7.0843,2.9792,0.0,0.0
-32.1094,-7.0665,2.9788,0.0,0.0
-32.217,-7.0483,2.9807,0.0,0.0
-32.3215,-7.0313,2.9823,0.0,0.0
-32.4277,-7.0139,2.9821,0.0,0.0
-32.5399,-6.9957,2.9822,0.0,0.0
-32.6421,-6.978,2.9822,0.0,0.0
-32.742,-6.9628,2.9824,0.0,0.0
-32.8492,-6.9477,2.9836,0.0,0.0
-32.9553,-6.9332,2.9847,0.0,0.0
-33.069,-6.9186,2.9855,0.0,0.0
-33.176,-6.9027,2.9865,0.0,0.0
-33.2892,-6.8895,2.99,0.0,0.0
-33.4048,-6.875,2.9921,0.0,0.0
-33.518,-6.86,2.9932,0.0,0.0
-33.631,-6.8446,2.9938,0.0,0.0
-33.738,-6.8298,2.9941,0.0,0.0
-33.8395,-6.8171,2.9944,0.0,0.0
-33.9392,-6.8024,2.9929,0.0,0.0
-34.0401,-6.7869,2.9923,0.0,0.0
